PLAYER,GP,MIN,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,EFF
James Harden,50,35.8,31.3,44.8,38.4,86.5,5.1,9,1.8,0.7,4.2,30.8
Giannis Antetokounmpo,53,37,27.8,54,29,75.3,10.4,4.8,1.4,1.3,2.9,31.9
Anthony Davis,51,36.4,27.4,54.1,36.7,82,10.7,2.4,1.3,2.1,2.1,32
Stephen Curry,43,32.9,26.6,49,41.3,91.5,5.2,6.5,1.6,0.1,3.1,27.5
LeBron James,56,37,26.5,54.4,36.2,73.7,8.1,8.9,1.5,1,4.4,31.6
Damian Lillard,51,36.5,26.1,44.7,37,92.4,4.5,6.6,1,0.4,3.1,24.6
Kevin Durant,50,34.5,26,52.3,42.1,88.6,6.8,5.5,0.8,1.9,3.1,28.9
Russell Westbrook,57,36.2,25.4,44.4,29.6,72.6,9.4,10.4,1.9,0.2,4.6,28.9
DeMarcus Cousins,48,36.2,25.2,47,35.4,74.6,12.9,5.4,1.6,1.6,5,30
Kyrie Irving,53,32.8,24.7,48.6,39.7,88.8,3.6,5,1.1,0.3,2.3,22.3
Victor Oladipo,52,34.6,24.4,48.4,38.1,81,5.3,4.1,2.1,0.8,2.9,23.4
Devin Booker,44,34.1,24.2,43,38.3,88.8,4.4,4.8,0.9,0.3,3.5,19.8
DeMar DeRozan,57,34,23.7,46,32.7,82.7,3.9,5.2,1.2,0.3,2.2,21.1
Joel Embiid,44,31.4,23.7,48.7,29.7,78.5,11.1,3.1,0.6,1.8,4,26
Bradley Beal,57,36.4,23.6,46.1,37,79.2,4.5,4.2,1.3,0.5,2.4,20.5
Lou Williams,55,32.4,23.2,44,37.8,89.5,2.5,5.3,1.1,0.2,3,19.3
Kemba Walker,55,35.1,22.9,42.3,37.9,85.2,3.4,5.8,1.2,0.3,2.2,20.2
Kristaps Porzingis,48,32.4,22.7,43.9,39.5,79.3,6.6,1.2,0.8,2.4,1.9,20.1
Paul George,56,36.5,22.5,44.9,43.3,80.1,5.4,3.1,2.2,0.5,2.7,20.8
Jimmy Butler,55,37.3,22.4,47.6,35.8,86.5,5.5,5,1.9,0.4,1.9,24.1
LaMarcus Aldridge,54,33.9,22.4,50.1,32.9,83.5,8.4,2,0.5,1.2,1.5,23.4
Blake Griffin,41,34.4,22.2,43.4,33.2,79.1,8,5.6,0.8,0.3,2.9,22.7
CJ McCollum,57,36.1,21.7,45,42.1,85.9,3.9,3.2,1,0.4,1.9,17.7
Karl-Anthony Towns,61,35.1,20.2,54.6,42.1,85.8,12.2,2.4,0.8,1.5,1.9,28.3
Klay Thompson,57,34.1,20,49.4,45.4,86.3,3.9,2.5,0.7,0.6,1.8,17.8
Khris Middleton,57,36.8,20,46.3,34.6,86.2,5.3,4.1,1.3,0.2,2.3,19.5
Donovan Mitchell,55,32.1,19.6,43.9,35.4,83.6,3.5,3.5,1.4,0.4,2.6,16
Dennis Schroder,55,31.3,19.5,43.6,28.7,87,3.1,6.3,1.1,0.1,2.6,17.2
Tyreke Evans,48,31,19.5,45.5,39.5,79.5,5.1,5,1,0.3,2.1,19.5
TJ Warren,56,32.4,19.3,50,20.3,74.6,5.1,1.4,1,0.6,1.3,17.1
Jrue Holiday,57,36.7,18.6,48.8,32.5,78.7,4.3,5.5,1.5,0.7,2.5,19.8
Eric Gordon,51,31.8,18.5,41.8,33.4,81.9,2.3,2.4,0.7,0.3,2,12.9
Harrison Barnes,56,34.4,18.3,44.9,35,82.6,6.6,1.9,0.7,0.2,1.5,17.1
Tobias Harris,54,32.9,18,45,40.2,82.4,5.3,2,0.8,0.3,1.1,16.6
Evan Fournier,49,32.3,17.9,46.1,38.4,87.2,3.1,2.9,0.9,0.3,1.8,15.3
Kevin Love,48,28,17.9,46.3,40.4,88.3,9.4,1.6,0.7,0.4,1.5,21.2
Marc Gasol,55,33.9,17.7,41.4,32.6,84.1,8.4,4,0.7,1.5,2.7,20.1
Andrew Wiggins,61,36.1,17.5,43.8,31.5,63.4,4.2,1.7,1.1,0.6,1.7,13.3
Gary Harris,54,34.9,17.5,48.4,39.8,82.9,2.7,3.1,1.8,0.2,1.9,16.1
Goran Dragic,53,31.8,17.4,44,36,76.5,4,4.7,0.8,0.2,2.3,15.7
Eric Bledsoe,49,30.8,17.2,45.3,32.1,78,3.6,4.5,2.1,0.6,2.9,16.7
Carmelo Anthony,56,32.3,17.1,41.2,34.8,77.4,5.9,1.4,0.6,0.7,1.3,14.6
Nikola Jokic,51,31.5,16.9,48.5,36.3,85,10.6,5.9,1.2,0.8,2.8,25.5
JJ Redick,44,31.9,16.9,44.4,40.3,94,2.8,3.3,0.6,0.1,1.4,14.8
Rodney Hood,41,27.5,16.7,42.8,39.5,87.6,2.8,1.6,0.8,0.2,1.6,12.2
Kyle Lowry,54,32.1,16.6,41.8,38.9,85.7,5.7,6.5,1.2,0.1,2.4,19.9
Jamal Murray,57,30.3,16.5,46.2,38.6,91.4,3.5,2.9,0.9,0.3,2.1,14.9
Ben Simmons,54,34.9,16.4,52.7,0,56.5,7.8,7.3,1.9,0.9,3.7,22.5
Brandon Ingram,53,33.8,16.2,46.2,38,68.3,5.2,3.7,0.8,0.7,2.5,15.3
Dwight Howard,57,31,15.8,54.1,0,55.3,12.6,1.4,0.7,1.6,2.8,21.1
